Field1_links,Field2,Field3,Field4,Field5
https://www.imdb.com/title/tt5583950/?ref_=sr_t_268,Tatli Intikam,30,30,
https://www.imdb.com/title/tt22687892/?ref_=sr_t_269,Bi'Tuhaf Hikaye,1,,
https://www.imdb.com/title/tt1592293/?ref_=sr_t_270,Hanimin Çiftligi,70,,
https://www.imdb.com/title/tt11561800/?ref_=sr_t_271,Zümrüdüanka,26,26,
https://www.imdb.com/title/tt26547403/?ref_=sr_t_272,Dünya Bu,8,,
https://www.imdb.com/title/tt21856826/?ref_=sr_t_273,Sifirinci Gün,8,,
https://www.imdb.com/title/tt27478354/?ref_=sr_t_274,Dönence,14,14,
https://www.imdb.com/title/tt1289683/?ref_=sr_t_275,Arka Siradakiler,199,,
https://www.imdb.com/title/tt14872600/?ref_=sr_t_276,Aziz,28,28,
https://www.imdb.com/title/tt16259110/?ref_=sr_t_277,Son Nefesime Kadar,5,,
https://www.imdb.com/title/tt13528822/?ref_=sr_t_278,Ögrenci Evi,10,,
https://www.imdb.com/title/tt5616644/?ref_=sr_t_279,Ask Yeniden,59,59,
https://www.imdb.com/title/tt5152226/?ref_=sr_t_280,Hayat Agaci,13,,
https://www.imdb.com/title/tt1286883/?ref_=sr_t_281,Akasya Duragi,174,,
https://www.imdb.com/title/tt29425854/?ref_=sr_t_282,Kuzgun: Dipsiz Karanlik,10,,
https://www.imdb.com/title/tt2013403/?ref_=sr_t_283,Dinle Sevgili,249,,
https://www.imdb.com/title/tt20319272/?ref_=sr_t_284,Seni Kalbime Sakladim,7,7,
https://www.imdb.com/title/tt4901210/?ref_=sr_t_285,Sen Benimsin,13,,
https://www.imdb.com/title/tt21766660/?ref_=sr_t_286,Yazgi,200,,
https://www.imdb.com/title/tt16539540/?ref_=sr_t_287,Canim Annem,370,370,
https://www.imdb.com/title/tt3142878/?ref_=sr_t_288,Kayip,14,14,
https://www.imdb.com/title/tt0426672/?ref_=sr_t_289,Deli Yürek,113,113,
https://www.imdb.com/title/tt6573358/?ref_=sr_t_290,Sahipli,10,10,
https://www.imdb.com/title/tt12512714/?ref_=sr_t_291,Hay Sultan,10,,
https://www.imdb.com/title/tt3212064/?ref_=sr_t_292,Uçurum,24,,
https://www.imdb.com/title/tt1468453/?ref_=sr_t_293,Çok Güzel Hareketler Bunlar,,,
https://www.imdb.com/title/tt12872866/?ref_=sr_t_294,Seref Sözü,4,,
https://www.imdb.com/title/tt6227264/?ref_=sr_t_295,Sungurlar,39,,
https://www.imdb.com/title/tt2247207/?ref_=sr_t_296,Beni Affet,1.4K,,
https://www.imdb.com/title/tt11598800/?ref_=sr_t_297,Baraj,39,,
https://www.imdb.com/title/tt18949338/?ref_=sr_t_298,One Way Ticket,,,
https://www.imdb.com/title/tt8390228/?ref_=sr_t_299,En Iyi Arkadasim,24,,
https://www.imdb.com/title/tt1755473/?ref_=sr_t_300,Küçük Sirlar,55,55,
https://www.imdb.com/title/tt28267514/?ref_=sr_t_301,Kimler Geldi Kimler Geçti,1,,
https://www.imdb.com/title/tt9070590/?ref_=sr_t_302,Sahin Tepesi,6,6,
https://www.imdb.com/title/tt0302199/?ref_=sr_t_303,Tatli Hayat,106,106,
https://www.imdb.com/title/tt2544148/?ref_=sr_t_304,20 Dakika,25,25,
https://www.imdb.com/title/tt2311418/?ref_=sr_t_305,Isler Güçler,41,41,
https://www.imdb.com/title/tt0424656/?ref_=sr_t_306,Hürrem Sultan,8,,
https://www.imdb.com/title/tt0426708/?ref_=sr_t_307,Hayat Bilgisi,137,,
https://www.imdb.com/title/tt0949686/?ref_=sr_t_308,Kurtlar Vadisi: Terör,2,,
https://www.imdb.com/title/tt1428614/?ref_=sr_t_309,Adanali,79,,
https://www.imdb.com/title/tt21095400/?ref_=sr_t_310,Hür,10,,
https://www.imdb.com/title/tt7172080/?ref_=sr_t_311,Atesböcegi,17,17,
https://www.imdb.com/title/tt1618952/?ref_=sr_t_312,Gönülçelen,56,56,
https://www.imdb.com/title/tt8019142/?ref_=sr_t_313,Gülümse Yeter,24,,
https://www.imdb.com/title/tt1171658/?ref_=sr_t_314,Dudaktan Kalbe,75,,
https://www.imdb.com/title/tt1188648/?ref_=sr_t_315,Tek Türkiye,133,133,
